epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,11308,0.32937,0.93587,1.05608,0.68597,0.74554,0.76761,0.73845,0.489,0.73619,0.76549,0.0003466,0.0003466,0.0003466
68,11474.5,0.32806,0.93532,1.05788,0.67119,0.74857,0.76589,0.73592,0.49307,0.73555,0.77001,0.0003367,0.0003367,0.0003367
69,11642.6,0.32667,0.92782,1.05361,0.6897,0.73231,0.76609,0.73449,0.49532,0.73731,0.77365,0.0003268,0.0003268,0.0003268
70,11813.9,0.32364,0.92775,1.05546,0.66405,0.75011,0.7678,0.73492,0.49597,0.73301,0.7746,0.0003169,0.0003169,0.0003169
71,11982.8,0.32173,0.91634,1.05402,0.6576,0.76406,0.76693,0.73342,0.49592,0.73308,0.77331,0.000307,0.000307,0.000307
72,12150.3,0.32336,0.91631,1.05017,0.65577,0.7588,0.76473,0.73243,0.49271,0.73005,0.76906,0.0002971,0.0002971,0.0002971
73,12321.3,0.32079,0.90192,1.05031,0.65387,0.76321,0.76522,0.73134,0.49569,0.72866,0.77392,0.0002872,0.0002872,0.0002872
74,12489.8,0.32268,0.90766,1.0528,0.65749,0.76033,0.76484,0.72893,0.4979,0.72848,0.77684,0.0002773,0.0002773,0.0002773
75,12659.3,0.31581,0.90162,1.04646,0.65711,0.76761,0.76803,0.7317,0.49607,0.72753,0.77336,0.0002674,0.0002674,0.0002674
76,12826,0.31724,0.89842,1.0495,0.66076,0.76118,0.76759,0.73114,0.49638,0.72645,0.77493,0.0002575,0.0002575,0.0002575
77,12996.4,0.32017,0.90068,1.05084,0.67,0.74184,0.76737,0.72988,0.49698,0.72768,0.77434,0.0002476,0.0002476,0.0002476
78,13165,0.31589,0.88727,1.04819,0.67219,0.74985,0.76639,0.72955,0.4973,0.72949,0.77383,0.0002377,0.0002377,0.0002377
79,13334.4,0.31727,0.89308,1.04748,0.67403,0.73996,0.76657,0.73014,0.49828,0.72823,0.77468,0.0002278,0.0002278,0.0002278
80,13503.6,0.30998,0.88359,1.04462,0.67459,0.73997,0.76637,0.73038,0.49847,0.72795,0.77645,0.0002179,0.0002179,0.0002179
81,13674.1,0.30966,0.8837,1.04436,0.67774,0.73499,0.76797,0.73315,0.49745,0.7281,0.77647,0.000208,0.000208,0.000208
82,13843.3,0.3123,0.8829,1.04483,0.65381,0.76036,0.769,0.73482,0.49506,0.72839,0.7733,0.0001981,0.0001981,0.0001981
83,14012.3,0.30979,0.87836,1.04522,0.65273,0.76412,0.76701,0.73307,0.49513,0.72882,0.77353,0.0001882,0.0001882,0.0001882
84,14178.7,0.31203,0.86386,1.04206,0.65532,0.76481,0.76751,0.73387,0.49575,0.72901,0.77416,0.0001783,0.0001783,0.0001783
85,14348.7,0.30912,0.86567,1.04573,0.65639,0.76818,0.76812,0.73361,0.49568,0.72877,0.77485,0.0001684,0.0001684,0.0001684
86,14516.8,0.31253,0.86541,1.04548,0.65505,0.76564,0.76723,0.73187,0.49547,0.72927,0.77494,0.0001585,0.0001585,0.0001585
87,14685.2,0.30351,0.85604,1.04091,0.66215,0.76086,0.76722,0.73147,0.49459,0.7274,0.77347,0.0001486,0.0001486,0.0001486
88,14854.8,0.30238,0.85104,1.03906,0.66285,0.76298,0.76725,0.73173,0.49406,0.7279,0.77301,0.0001387,0.0001387,0.0001387
89,15023,0.31092,0.85645,1.0427,0.65227,0.77476,0.76747,0.73102,0.49317,0.72731,0.77194,0.0001288,0.0001288,0.0001288
90,15192.1,0.29891,0.84474,1.03522,0.65476,0.77269,0.76734,0.73032,0.49364,0.72716,0.77374,0.0001189,0.0001189,0.0001189
91,15341.2,0.23755,0.56674,1.0306,0.65269,0.77463,0.76689,0.73043,0.49032,0.72791,0.76871,0.000109,0.000109,0.000109
92,15488.6,0.22482,0.50623,1.02031,0.65221,0.76846,0.7689,0.73425,0.4861,0.72815,0.76228,9.91e-05,9.91e-05,9.91e-05
93,15634.9,0.22081,0.48949,1.01852,0.65655,0.77393,0.77241,0.73991,0.48187,0.72708,0.75649,8.92e-05,8.92e-05,8.92e-05
94,15780.9,0.21867,0.47156,1.01026,0.65768,0.77339,0.77261,0.74217,0.47815,0.72607,0.75115,7.93e-05,7.93e-05,7.93e-05
95,15926.8,0.21905,0.46997,1.01599,0.65173,0.7758,0.77295,0.74289,0.47444,0.72521,0.74598,6.94e-05,6.94e-05,6.94e-05
96,16072.9,0.21591,0.45992,1.01494,0.6537,0.77572,0.77358,0.74439,0.47161,0.72502,0.74163,5.95e-05,5.95e-05,5.95e-05
97,16216.2,0.21408,0.46411,1.00948,0.65664,0.77273,0.77289,0.74505,0.46875,0.72444,0.7375,4.96e-05,4.96e-05,4.96e-05
98,16361.9,0.21128,0.45192,1.01034,0.65657,0.77434,0.77297,0.74695,0.46588,0.72405,0.7338,3.97e-05,3.97e-05,3.97e-05
99,16505,0.21221,0.44747,1.01001,0.65571,0.77956,0.77275,0.74798,0.46353,0.7236,0.73047,2.98e-05,2.98e-05,2.98e-05
100,16648.3,0.21042,0.44476,1.0105,0.65794,0.77653,0.77412,0.75107,0.46119,0.72261,0.72721,1.99e-05,1.99e-05,1.99e-05
